CÓDIGO,DESCRIPCIÓN,CONTENIDO,CATEGORÍA,PRECIO NETO (MXN)
VON-00001,V10 (PULIMENTO DE CORTE),500ML,PULIMENTOS PARA BARNIZ BLANDO,162.86
VON-00002,V20 (PULIMENTO DE CORTE MEDIO),500ML,PULIMENTOS PARA BARNIZ BLANDO,190.43
VON-00003,V30 (PULIMENTO DE ACABADO),500ML,PULIMENTOS PARA BARNIZ BLANDO,202.95
VON-00004,V CUT (PULIMENTO DE CORTE PREMIUM),500ML,PULIMENTOS PARA BARNIZ PREMIUM,498.61
VON-00005,V-POLISH (PULIMENTO DE CORTE MEDIO PREMIUM),500ML,PULIMENTOS PARA BARNIZ PREMIUM,463.54
VON-00006,V-FINISH (PULIMENTO DE SUYPER LUSTRO PREMIUM),500ML,PULIMENTOS PARA BARNIZ PREMIUM,463.54
VON-00034,OPTY (PULIMENTO PARA CRISTAL),240ML,TRATAMIENTO PARA CRISTALES,556.24
VON-00035,GLAZY (LIMPIADOR DE CRISTALES),500ML,TRATAMIENTO PARA CRISTALES,131.54
VON-00103,GLAZY (LIMPIADOR DE CRISTALES),5 LITROS,TRATAMIENTO PARA CRISTALES,497.36
VON-00083,PRIZM (RESTAURADOR DE VIDRIOS),500ML,TRATAMIENTO PARA CRISTALES,126.53
VON-00086,FOCUS (REMOVEDOR MARCAS DE AGUA CRISTAL Y ESPEJO),240 ML,TRATAMIENTO PARA CRISTALES,174.14
VON-00007,BLEND ALL IN ONE  (PULIMENTO 3 PASOS EN 1),500ML,PRODUCTOS 3 EN 1,486.09
VON-00008,V40 (PULIMENTO 4 PASOS EN 1),500ML,PRODUCTOS 3 EN 1,238.03
VON-00009,NATIVE PASTE WAX (CERA DE CARNAUBA BRASIÑEÑA 100% PURA),100ML,CERA EN PASTA,437.23
VON-00036,CARNAUBA HYBRID WAX (CERA DE CARNAUBA EN PASTA),240ML,CERA EN PASTA,291.90
VON-00010,BLEND PASTE WAX (CERA CON SIO2 & CARNAÚBA),100ML,CERA EN PASTA,397.14
VON-00058,CARNAUBA PLUS (CERA DE LIMPIEZA),1500 ML,CERA EN SPRAY,326.98
VON-00011,CARNAUBA PLUS (CERA DE LIMPIEZA),500ML,CERA EN SPRAY,150.34
VON-00012,CARNAUBA TOK FINAL (CERA LIQUIDA DE MANTENIMIENTO),500ML,CERA EN SPRAY,124.03
VON-00057,BLEND SPRAY (CERA LÍQUIDA CON SiO2 & CARNAÚBA),500ML,CERA EN SPRAY,202.95
VON-00013,NATIVE CLEANER WAX (CERA LIMPIADORA CON CARNAÚBA),500ML,CERA EN SPRAY,250.56
VON-00014,NATIVE SPRAY WAX (CERA DE CARNAÚBA LÍQUIDA PREMIUM),500ML,CERA EN SPRAY,211.72
VON-00015,HIDROCOURO (HIDRATANTE Y PROTECTOR DE PIEL),50ML,TRATAMIENTOS DE PIEL,171.63
